,average feed intake g per d,"bodyweightgain,g",akp U per ml,alt (U per L),glucose (g per L),"nefa,umol per L",tg mg per g,trap U per L,uric acid mmol per L,BCA,Liver PUFA,Liver n-3,Liver C22:6,Breast SFA,Breast MUFA,Breast PUFA,Breast n-3,Breast n-6,Breast C18:3 ,Breast C22:6,Thigh SFA,Thigh MUFA,Thigh PUFA,Thigh n-3,Thigh n-6,Thigh C18:3,Thigh C20:4,Thigh C22:6,Plasma n-6,Plasma SFA,Plasma PUFA,Plasma n-3,breast mTOR,breast S6K1,breast 4E-BP1,breast MURF1,breast MAFbx,breast AMPK,breast LAT1,breast CAT1,breast SNAT2,breast VDAC1,breast ANTKMT,breast AKT1,IGF1,IGFR,IRS1,FOXO1,LC3-1,MyoD,MyoG,Pax3,Pax7,Mrf4,Mrf5,liver mTOR,liver S6K1,liver 4E-BP1,liver MURF1,liver MAFbx,liver AMPK
25,,,,,,,,,,,,,,,,,,"C18:0,g",,,,,,,,,,,,,,,,,,"K,g",,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,"Leucine,g",,,,,,,,,,,,,,,,,,Vitamin K mg,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,"beta-carotene,mg",,,,,,,,,,,,,,,,,,"Crude fiber,g",,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,"Zn,mg",,,,,,,,,,,,,,,,,,Vitamin D3 IU,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,"Calcium,g",,,,,,,,,,,,,,,,,,"PUFA,g",,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,Pantothenic acid mg,,,,,,,,,,,,,,,,,,"ADF,g",,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,"Cl,g",,,,,,,,,,,,,,,,,,"C22:0,g",,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,"C24:0,g",,,,,,,,,,,,,,,,,,"C20:0,g",,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,"Glutamic acid,g",,,,,,,,,,,,,,,,,,"Mg,g",,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,"Na,g",,,,,,,,,,,,,,,,,,Ca:P ratio,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,"n-6 PUFA,g",,,,,,,,,,,,,,,,,,Choline mg,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,"Met + Cys,g",,,,,,,,,,,,,,,,,,"NDF,g",,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,"Proline,g",,,,,,,,,,,,,,,,,,"Histidine,g",,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,"C18:3 cis n-3 ALA,g",,,,,,,,,,,,,,,,,,"n-3:n-6 ratio,g",,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,Vitamin B12 mg ,,,,,,,,,,,,,,,,,,"Valine,g",,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,"C16:1,g",,,,,,,,,,,,,,,,,,"Phenylalanine,g",,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,Vitamin A IU,,,,,,,,,,,,,,,,,,Thiamin mg,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,Pyridoxine mg,,,,,,,,,,,,,,,,,,"Aspartic acid,g",,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,"Cystine,g",,,,,,,,,,,,,,,,,,"Met + Cys,g",,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,Vitamin D3 IU,,,,,,,,,,,,,,,,,,"n-6 PUFA,g",,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Serine,g",,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ME, kcal",,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitamin B12 mg ,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Proline,g",,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C14,g",,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Isoleucine,g",,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Folic acid mg,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tryptophan,g",,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
