,rf rmse,rf r2,rf mape,lr rmse,lr r2,lr mape,svm rmse,svm r2,svm mape,nn rmse,nn r2,rnn mape,gb rmse,gb r2,gb mape
Liver n-3,24.99269710158517,0.8791332202723985,0.5399385438756654,434748277.6094432,-36572650846000.23,1117680.6133148111,79.31604061047344,-0.21731438081732013,1.5846955367694324,10.652219447823079,0.978043611365076,0.25107751337431156,30.065625048365572,0.8250873684611202,0.2787565252698651
Liver n-6,149.89232636101863,0.8452539013255376,0.6551875059260951,1676370212.077913,-19355338858649.902,314122.67464109516,405.28084450140113,-0.13128769565700305,0.28464908108785103,325.34282661948026,0.2709733913178419,0.2690229035502973,149.0270838404396,0.8470352661785049,0.31064646406324137
Liver C18:3 ,11.644592414507258,-2.895332734846307,0.3639461075865715,26.164458541063897,-18.666156011118975,1.0766687676623048,11.194133418705349,-2.599788078017118,0.33999392679828333,17.62385626698418,-7.922732252781314,0.58291083767434,11.814357176977591,-3.009739600838894,0.3567930492220687
Liver C22:6,17.34152824116233,0.835372736195821,0.2884766868893567,383859420.1205753,-80662454069835.88,1642787.4427093691,46.494686077455995,-0.18340572135196043,1.3969925123709221,8.170214217586148,0.9634578654631276,0.17618136638064888,19.58022674711017,0.7901241545477294,1.231770074993204
Breast SFA,7.650972880122649,0.9930777706130332,0.40848877646417536,1574624689.6816514,-293201896553858.5,1361169.3767915976,97.01981885957419,-0.11309845645382377,0.21509196261597047,7.875082816419757,0.9926663037045698,0.25703270044806914,13.861422761624558,0.977278956126433,0.27277103753014215
Breast MUFA,13.133234201285921,0.9835603761183063,0.3930683690554237,4896664466.861303,-2285331422971354.5,3773129.1109341877,108.17227941149356,-0.1152711341618129,0.28421620762433886,7.245836549311026,0.9949959047766955,0.36736353857159054,13.993339126336084,0.9813365805000577,0.22269405348577898
Breast PUFA,22.302528462121604,0.9508886079614985,0.7785160205025794,2076871457.661582,-425885913194150.25,1488467.4362818822,106.17244213759992,-0.11300637919938294,0.24725073409590945,21.80194449703352,0.9530684930987018,0.28531941482810386,17.43487899384476,0.9699868267876732,1.0601156119889648
Breast n-3,2.687182313627293,0.7846868349451247,0.34248673743911195,216189250.34843042,-1393620452550149.2,4870567.5402513705,4.9228474621617355,0.27738149597273143,0.6711995922911829,2.510416607485751,0.8120822002725884,0.3592565829850224,2.2499847745890915,0.8490491792282424,0.22539220128757942
Breast n-6,17.222730971083802,0.9676562184389249,0.8444577349798525,1913245550.7209597,-399142693697179.5,1415935.2270335844,100.8709349807922,-0.10947840257391683,0.2732143889992826,25.884391723562803,0.9269428565675052,0.4330758150578619,21.196785972828923,0.9510078172262832,1.6796443132868228
Breast C18:3 ,0.9039434815984347,0.916715287279078,0.3771286199478157,281909820.9375177,-8100338145647268.0,6358106.693552335,2.1117905132518433,0.5454471276655919,0.5942511284922224,0.7591980869613418,0.9412520187708086,0.17221469763428787,0.6175213370523953,0.9611324940439375,0.12645156774919805
Breast C22:6,0.10363587494235982,0.9971998786044651,0.07408409874720873,1117875.0247481936,-325794036287.9236,41909.71002926808,0.8649520180555004,0.8049523796949261,0.19075582231261515,0.06785809893862925,0.9987995059810044,0.09963533160311046,0.16685717316720347,0.9927415082629254,0.24929420114845433
Thigh SFA,79.80700634490776,0.8090646816065243,0.445717675678886,2436758017.278926,-178003702825220.5,923300.8750347178,193.3099337231015,-0.12024386240574203,0.21513583415193116,63.71529105256793,0.87829972153681,0.33296957510394215,62.750803934356405,0.8819562989265882,0.9868099244033902
Thigh MUFA,90.51613002488467,0.840070293775826,0.4849931734166217,2480666583.6658926,-120119627601303.47,743285.6007457243,239.47458471963972,-0.11942768101386836,0.36597407145193717,98.63609710813151,0.8100895148417606,0.29485655450549486,84.62433820934856,0.8602126876207435,0.3622995762497334
Thigh PUFA,126.42402874699356,0.7688710803326512,0.6199910412877145,141947906.0512949,-291375491053.5913,36018.0485920861,278.2340044159503,-0.11947770859791529,0.22847096536536446,149.1851373870521,0.6781554533676578,0.3310702417415269,136.13043381841675,0.7320180798019769,1.445676761641601
Thigh n-3,2.407050227331456,0.9641527645466678,0.36440673469445856,489719162.5930769,-1483814324642090.5,3358876.575473215,12.30609554938197,0.06302947615395371,1.0366593574585898,2.8646157575495197,0.9492287195869316,0.2026837670261754,1.9188405220898306,0.9772195066257853,0.3097225726134757
Thigh n-6,129.9133879981578,0.7045388559235078,0.9747158150782081,1300021117.049669,-29586484934234.934,359899.2044894579,252.62095215237528,-0.11720094113454738,0.26399422183423205,140.63892293581506,0.6537389664708073,0.34526595093516665,143.00352247668636,0.6419975260324478,0.19037781339413629
Thigh C18:3,5.2681887174887505,0.6323696372438417,0.6847527868952952,76815544.7121187,-78160432536287.94,580125.7494971955,8.032702797570256,0.14530311230211435,0.9104528686560631,5.315316190128192,0.6257628185270152,0.5532275141948735,5.2214475769976705,0.6388641782048645,0.11120973126220476
Thigh C20:4,0.4172770878135513,0.9515396294033805,0.24142629447905717,229114.3457744515,-14609730993.225073,7089.221363625884,0.9196476121721135,0.7646140434862816,0.4211577464928022,0.6640736215533503,0.8772645236710582,0.42011123737024303,0.44072829983694095,0.945939565774341,0.3295250340886158
Thigh C22:6,2.5253405230285,0.36106983280596006,0.38198324443135684,2034906401.9120383,-4.148607753211034e+17,179753066.4845706,2.1356133652424516,0.5430604404772608,0.31507484205301717,2.8777206362379117,0.17031973350234975,0.4897239611251217,2.971740483171067,0.11522007630596687,0.393365579032465
